	name	m	n	noise_mean	noise_sd	num	sim_matrix	r	lambdaW	lambdaH	lambdaC	RMSE	MAE	AUROC	AUPRC
0	Buenrostro2018	5000	1974	-1	1	1	X	0	1	1	0	0.6638874414059214	0.20423465045592704	0.7399052777475995	0.842022602975563
1	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	5	1	1	0	0.6096615795628559	0.23842340943368082	0.8555890934091099	0.8182315817701464
2	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	5	1	1	1	0.6099872623616819	0.23857249342665443	0.8540761947056168	0.8161440911429263
3	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	8	1	1	0	0.609730497423193	0.23709899619995112	0.8559981180088387	0.8246361644914499
4	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	8	1	1	1	0.6095998003607831	0.2374820406712301	0.855132958482274	0.8215913074816028
5	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	10	1	1	0	0.6098840380804814	0.2365958508599477	0.8557370780554562	0.8199965939779619
6	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	10	1	1	1	0.6093151032710997	0.23682285346546622	0.855964165813557	0.8207266326955971
7	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	20	1	1	0	0.6116211068969374	0.23653162966987165	0.850793121418017	0.8120192796419612
8	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	20	1	1	1	0.6108758915526004	0.23632754506813394	0.8527022501026109	0.8088031783826504
9	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	30	1	1	0	0.6132360469753915	0.23650191038368026	0.8457385168831217	0.7984986271762616
10	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	30	1	1	1	0.612392892609671	0.2363029381790916	0.8484481997989951	0.805796932763604
11	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	40	1	1	0	0.6147402895514373	0.2365200210286712	0.8408538704775658	0.7908278519219096
12	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	40	1	1	1	0.6138072991183133	0.23630301247798893	0.8441938091379572	0.7981098908810677
13	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	50	1	1	0	0.6161007799336126	0.23654141342868953	0.8362837508954858	0.7864233213464754
14	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	50	1	1	1	0.615130212750848	0.23632425242612096	0.8400198514712968	0.7858542135168918
15	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	100	1	1	0	0.6214779175904209	0.23686654851028022	0.8183175188989762	0.76488343996272
16	Buenrostro2018	5000	1974	-1	1	1	S_lsi_M	100	1	1	1	0.6203926025216445	0.23655889628080964	0.8229891008947017	0.7696715779448678
17	Buenrostro2018	5000	1974	-1	1	1	scOpen	5	1	1	0	0.6064856194681424	0.245066767267075	0.8555392133116543	0.846386312860364
