	version	m	n_cl	n_incl	sparse_rate	hetero_rate	drop_rate	sim_matrix	r	lambdaW	lambdaH	lambdaC	RMSE	MAE	AUROC	AUPRC
0	v1	100	8	10	0.3	0.2	0.47269325577333754	X	0	1	1	0	0.3715197468844859	0.142625	0.763376192451265	0.8346886924512651
1	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	5	1	1	0	0.297085955856343	0.1592712220243549	0.9349937020777391	0.8974897434226583
2	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	5	1	1	0	0.297085955856343	0.1592712220243549	0.9349937020777391	0.8974897434226583
3	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	5	1	1	0.1	0.29576240460271547	0.15667514123931658	0.9390601717437055	0.9021679135941257
4	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	5	1	1	0.1	0.2960707369722345	0.1567060759144896	0.9382006962630793	0.9015010128295187
5	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	5	1	1	1	0.28874700510600687	0.14832335739719377	0.9546356648447109	0.9198010601842999
6	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	5	1	1	1	0.29924982553535207	0.15769023593723042	0.9352178195022085	0.8970491193119114
7	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	8	1	1	0	0.2794629991117247	0.13918422823437887	0.9646753833502574	0.934239969512761
8	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	8	1	1	0	0.2794629991117247	0.13918422823437887	0.9646753833502574	0.934239969512761
9	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	8	1	1	0.1	0.27576799766514626	0.13434088991858611	0.9703146823851645	0.9410828683821927
10	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	8	1	1	0.1	0.2758941835349229	0.13420999291629254	0.9699972816485899	0.940534677415005
11	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	8	1	1	1	0.26448284172518	0.12034627876651446	0.9797041635154792	0.9546744914792373
12	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	8	1	1	1	0.27373100660023797	0.13170428944413035	0.971612856592529	0.9423596301270651
13	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	10	1	1	0	0.28765619439933093	0.14340513996222737	0.9530973065167188	0.9218475822041581
14	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	10	1	1	0	0.28765618796455134	0.14340513618928377	0.9530973065167186	0.9218476740624444
15	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	10	1	1	0.1	0.2834782651203419	0.13843021879021014	0.9597098465990441	0.9307322602896635
16	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	10	1	1	0.1	0.28380290220785626	0.13856334299175277	0.9593487355435913	0.9299641709714556
17	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	10	1	1	1	0.26521408243615535	0.12219393025859641	0.9794122171751275	0.9572496990149223
18	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	10	1	1	1	0.2803743511492933	0.1350371616930544	0.9643933812929779	0.9355025890064143
19	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	20	1	1	0	0.3159743331361547	0.153253921115647	0.9082000187160314	0.8778553190196685
20	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	20	1	1	0	0.3159742827942128	0.15325389023691133	0.9081993508164219	0.877854934437623
21	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_M	20	1	1	0.1	0.31136939140826253	0.14874154651654442	0.9219422387059846	0.8929042958408895
22	v1	100	8	10	0.3	0.2	0.47269325577333754	S_lsi_X	20	1	1	0.1	0.3118350317012796	0.14893330772991806	0.9214731134414871	0.8915947619248606
